cct,nombre,turno,nivel,subnivel,detalle,matricula,docentes,p_de_apoyo,calle,numero,entre_calle,y_calle,colonia,municipio,localidad,ambito,zona_esc,sector,latitud,longitud
26DPR0733P,LEONA VICARIO,MATUTINO,BÁSICA,PRIMARIA,GENERAL,30,2,0,NINGUNO NINGUNO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO,ALAMOS,LA ADUANA,RURAL,28,2,27.0375,-109.010556
26DPR0734O,JOSE MARIA MORELOS,MATUTINO,BÁSICA,PRIMARIA,GENERAL,28,0,0,NINGUNO NINGUNO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO,SAN IGNACIO RIO MUERTO,BACHOMOBAMPO,RURAL,8,3,27.299722,-110.235833
26DPR0736M,VICENTE GUERRERO,MATUTINO,BÁSICA,PRIMARIA,GENERAL,58,3,0,NINGUNO NINGUNO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO,GUAYMAS,PROFESOR GRACIANO SANCHEZ,RURAL,41,5,28.2025,-110.679722
26DPR0737L,FRANCISCO I. MADERO,MATUTINO,BÁSICA,PRIMARIA,GENERAL,111,7,0,NINGUNO NINGUNO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO,EMPALME,URSULO GALVAN,RURAL,65,5,28.079444,-110.685278
26DPR0741Y,BENITO JUAREZ,MATUTINO,BÁSICA,PRIMARIA,GENERAL,20,1,0,CALLE CAPITAN CARLOS G. S (INTERNACIONAL),0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO,SAN LUIS RIO COLORADO,SAN LUIS RIO COLORADO,URBANO,31,10,32.467301,-114.72651
26DPR0744V,JUAN ESCUTIA,MATUTINO,BÁSICA,PRIMARIA,GENERAL,156,3,1,NINGUNO NINGUNO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO,SARIC,SASABE,RURAL,47,13,31.471944,-111.544167
26DPR0745U,BENITO JUAREZ,MATUTINO,BÁSICA,PRIMARIA,GENERAL,13,1,0,NINGUNO NINGUNO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO,YECORA,LA QUEMA,RURAL,90,3,28.3722,-109.279376
26DPR0746T,SALVADOR ALVARADO,MATUTINO,BÁSICA,PRIMARIA,GENERAL,17,0,0,NINGUNO NINGUNO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO,HERMOSILLO,SALVADOR ALVARADO,RURAL,104,12,28.755,-111.273611
26DPR0750F,JESUS GARCIA,MATUTINO,BÁSICA,PRIMARIA,GENERAL,72,4,0,PERIFÉRICO NORTE,0,CALLE RAMON SANTIAGO ENCINAS,CALLE RAMON SANTIAGO ENCINAS,NINGUNO,SAN JAVIER,SAN JAVIER,URBANO,39,6,28.596431,-109.738817
26DPR0752D,GENERAL GUADALUPE VICTORIA,MATUTINO,BÁSICA,PRIMARIA,GENERAL,20,1,0,NINGUNO NINGUNO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO,GUAYMAS,GUADALUPE VICTORIA,RURAL,41,5,28.204722,-110.575556
26DPR0754B,JESUS GARCIA,MATUTINO,BÁSICA,PRIMARIA,GENERAL,40,2,0,NINGUNO NINGUNO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO,GUAYMAS,LA MISA,RURAL,41,5,28.374722,-110.531667
26DPR0755A,PRIMERO DE MAYO,MATUTINO,BÁSICA,PRIMARIA,GENERAL,180,6,1,CALLE LAZARO CARDENAS DEL RIO,0,CALLE REVOLUCION,CALLE REVOLUCION,NINGUNO,BACUM,PRIMERO DE MAYO (CAMPO 77),RURAL,92,4,27.388611,-110.121667
26DPR0756Z,JACINTO LOPEZ MORENO,MATUTINO,BÁSICA,PRIMARIA,GENERAL,171,6,1,NINGUNO NINGUNO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO,EMPALME,ANTONIO ROSALES,RURAL,65,5,28.079444,-110.611389
26DPR0760M,NICOLAS BRAVO,MATUTINO,BÁSICA,PRIMARIA,GENERAL,44,3,0,NINGUNO NINGUNO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO,NACORI CHICO,LA MESA TRES RIOS,RURAL,22,6,29.841667,-108.7125
26DPR0761L,JOSEFA ORTIZ DE DOMINGUEZ,MATUTINO,BÁSICA,PRIMARIA,GENERAL,49,1,0,NINGUNO NINGUNO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO,BAVISPE,SAN MIGUELITO,RURAL,109,11,30.518333,-108.967222
26DPR0762K,GENERAL ABELARDO L RODRIGUEZ,MATUTINO,BÁSICA,PRIMARIA,GENERAL,37,2,0,NINGUNO NINGUNO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO,ROSARIO,NURI,RURAL,36,3,28.115561,-109.328921
26DPR0763J,VICENTE GUERRERO,MATUTINO,BÁSICA,PRIMARIA,GENERAL,11,1,0,NINGUNO NINGUNO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO,HERMOSILLO,SANTA AURELIA,RURAL,35,12,28.909722,-111.240833
26DPR0764I,ENRIQUE QUIJADA,VESPERTINO,BÁSICA,PRIMARIA,GENERAL,97,7,1,CALLE BLVR HERMOSILLO,0,CALZADA ALVARO OBREGON,CALZADA ALVARO OBREGON,FOVISSSTE,HERMOSILLO,HERMOSILLO,URBANO,84,7,29.059694,-110.968856
26DPR0765H,LEANDRO VALLE,VESPERTINO,BÁSICA,PRIMARIA,GENERAL,118,7,1,CALLE ANTONIA GARCIA,0,CALLE JESUS GARCIA CORONA,CALLE JESUS GARCIA CORONA,NINGUNO,MAGDALENA,MAGDALENA DE KINO,URBANO,9,13,30.62302,-110.955786
26DPR0767F,FRANCISCO I. MADERO,MATUTINO,BÁSICA,PRIMARIA,GENERAL,160,8,1,NINGUNO NINGUNO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO,ETCHOJOA,LA BOCANA,RURAL,23,1,26.886667,-109.669167
26DPR0768E,BENITO JUAREZ,MATUTINO,BÁSICA,PRIMARIA,GENERAL,72,4,0,NINGUNO NINGUNO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO,ETCHOJOA,BAYAJORIT,RURAL,55,14,27.086181,-109.665574
26DPR0769D,GILBERTO R LIMON,MATUTINO,BÁSICA,PRIMARIA,GENERAL,90,6,1,NINGUNO NINGUNO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO,ETCHOJOA,AQUICHOPO,RURAL,25,1,27.076667,-109.558611
26DPR0771S,NIÑOS HEROES,MATUTINO,BÁSICA,PRIMARIA,GENERAL,328,15,1,CALLE 15,0,CALLE 28,CALLE 28,NINGUNO,AGUA PRIETA,AGUA PRIETA,URBANO,11,11,31.321008,-109.533414
26DPR0772R,LAZARO CARDENAS DEL RIO,MATUTINO,BÁSICA,PRIMARIA,GENERAL,75,4,0,NINGUNO NINGUNO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO,ETCHOJOA,HUICHACA,RURAL,23,1,26.881389,-109.691944
26DPR0773Q,MIGUEL ALEMAN VALDEZ,MATUTINO,BÁSICA,PRIMARIA,GENERAL,403,12,1,CALLE IGNACIO ZARAGOZA,0,CALLE LAZARO CARDENAS DEL RIO (PIONEROS DE LA C,CALLE LAZARO CARDENAS DEL RIO (PIONEROS DE LA C,NINGUNO,HERMOSILLO,MIGUEL ALEMAN (LA DOCE),URBANO,104,12,28.843665,-111.494117
26DPR0777M,LUZ CEBALLOS DE IBARRA,MATUTINO,BÁSICA,PRIMARIA,GENERAL,172,7,1,CALLE SEGUNDA,0,CALLE YAVAROS,CALLE YAVAROS,IBARRA,HUATABAMPO,HUATABAMPO,URBANO,72,1,26.838048,-109.644391
26DPR0778L,RICARDO FLORES MAGON,MATUTINO,BÁSICA,PRIMARIA,GENERAL,130,7,0,CALLE TRINIDAD HERNANDEZ,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO,CAJEME,VICENTE GUERRERO (EL PORTON),RURAL,58,3,27.538611,-109.978056
26DPR0782Y,EUSEBIO FRANCISCO KINO,MATUTINO,BÁSICA,PRIMARIA,GENERAL,92,4,0,NINGUNO NINGUNO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO,SAN LUIS RIO COLORADO,MESA RICA,RURAL,108,10,32.131944,-114.923611
26DPR0783X,JUAN ESCUTIA,MATUTINO,BÁSICA,PRIMARIA,GENERAL,16,1,0,NINGUNO NINGUNO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO,HUATABAMPO,JUAN ESCUTIA,RURAL,99,1,26.557515,-109.141059
26DPR0785V,HERMANOS FLORES MAGON,MATUTINO,BÁSICA,PRIMARIA,GENERAL,77,4,0,NINGUNO NINGUNO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO,CABORCA,ULTIMO ESFUERZO,RURAL,61,8,30.79,-112.841944
26DPR0786U,13 DE ENERO,MATUTINO,BÁSICA,PRIMARIA,GENERAL,36,2,0,CALLE D,0,CALLE 5,CALLE 5,NINGUNO,HUATABAMPO,TOTOLIBOQUI,RURAL,49,2,26.462222,-109.133056
26DPR0790G,16 DE SEPTIEMBRE,MATUTINO,BÁSICA,PRIMARIA,GENERAL,119,6,1,NINGUNO NINGUNO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO,NAVOJOA,CHIRAJOBAMPO,RURAL,76,2,26.897222,-109.403889
26DPR0792E,NIÑOS HEROES,MATUTINO,BÁSICA,PRIMARIA,GENERAL,216,15,1,CALLE 3 ARIZONA,0,CALLE ARIZONA,CALLE ARIZONA,LAS TORRES,HERMOSILLO,HERMOSILLO,URBANO,1,6,29.114938,-110.978383
26DPR0794C,CUAUHTEMOC,MATUTINO,BÁSICA,PRIMARIA,GENERAL,47,2,0,NINGUNO NINGUNO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO,CABORCA,SAN PEDRO,RURAL,56,8,31.033611,-112.393056
26DPR0795B,CUAUHTEMOC,MATUTINO,BÁSICA,PRIMARIA,GENERAL,167,7,1,CALLE PASEO CHULA VISTA,0,CALLE PASEO POETICO,CALLE PASEO POETICO,CHULAVISTA,NOGALES,HEROICA NOGALES,URBANO,10,9,31.319477,-110.956641
26DPR0796A,ALVARO OBREGON,VESPERTINO,BÁSICA,PRIMARIA,GENERAL,89,5,0,CALLE IGNACIA FIMBRES,0,CALLE JALISCO,CALLE JALISCO,NINGUNO,MAGDALENA,MAGDALENA DE KINO,URBANO,9,13,30.627346,-110.963232
